time_s,laser,input_power_W,deposited_power_W,absorptivity
3.883838398e-05,laser0,200,92.99329932,0.4649664966
3.898723251e-05,laser0,200,93.53238255,0.4676619128
3.914204978e-05,laser0,200,95.96920134,0.4798460067
3.930731092e-05,laser0,200,90.43344011,0.4521672006
3.947767165e-05,laser0,200,93.07117382,0.4653558691
3.964742904e-05,laser0,200,95.88271173,0.4794135586
3.980994037e-05,laser0,200,93.23290328,0.4661645164
3.997212373e-05,laser0,200,92.70271065,0.4635135533
4.014509161e-05,laser0,200,91.76341047,0.4588170523
4.028103728e-05,laser0,200,95.41150395,0.4770575197
4.04162917e-05,laser0,200,94.26266865,0.4713133433
4.055888658e-05,laser0,200,102.1740622,0.510870311
4.070054625e-05,laser0,200,92.6475372,0.463237686
4.084140795e-05,laser0,200,91.67925239,0.4583962619
4.096946458e-05,laser0,200,82.85651277,0.4142825638
4.108537395e-05,laser0,200,86.53295747,0.4326647873
4.118597397e-05,laser0,200,84.99676675,0.4249838338
4.128144912e-05,laser0,200,90.51649694,0.4525824847
4.13736721e-05,laser0,200,87.41414777,0.4370707389
4.146287531e-05,laser0,200,90.97232385,0.4548616193
4.154611012e-05,laser0,200,86.22840749,0.4311420375
4.164012762e-05,laser0,200,86.32148533,0.4316074267
4.174666292e-05,laser0,200,89.24716022,0.4462358011
4.186462376e-05,laser0,200,85.04882272,0.4252441136
4.197050076e-05,laser0,200,84.6425485,0.4232127425
4.208928822e-05,laser0,200,87.9739147,0.4398695735
4.221762905e-05,laser0,200,86.85573904,0.4342786952
4.233229313e-05,laser0,200,91.24131444,0.4562065722
4.244004621e-05,laser0,200,91.13073742,0.4556536871
4.254433827e-05,laser0,200,97.92197414,0.4896098707
4.264646816e-05,laser0,200,97.20222025,0.4860111012
4.275428134e-05,laser0,200,99.9638933,0.4998194665
4.287116207e-05,laser0,200,97.66063078,0.4883031539
4.299958025e-05,laser0,200,97.51182758,0.4875591379
4.313040236e-05,laser0,200,100.3631005,0.5018155026
4.326106465e-05,laser0,200,108.006464,0.5400323202
4.33960354e-05,laser0,200,101.6362953,0.5081814764
4.35240356e-05,laser0,200,108.3360928,0.5416804641
4.364684233e-05,laser0,200,107.518801,0.5375940049
4.37643758e-05,laser0,200,106.304386,0.53152193
4.385967937e-05,laser0,200,110.6425735,0.5532128677
4.394031491e-05,laser0,200,108.3683472,0.541841736
4.401382605e-05,laser0,200,110.127623,0.5506381149
4.408487469e-05,laser0,200,108.930719,0.5446535952
4.41545585e-05,laser0,200,113.0925725,0.5654628626
4.422150611e-05,laser0,200,112.7725897,0.5638629485
4.428260497e-05,laser0,200,112.2583784,0.5612918921
4.43420902e-05,laser0,200,110.0787291,0.5503936455
4.44006769e-05,laser0,200,109.409586,0.5470479301
4.44556122e-05,laser0,200,107.7398782,0.5386993908
4.451091346e-05,laser0,200,112.1819208,0.560909604
4.456835039e-05,laser0,200,116.0043551,0.5800217755
4.462656921e-05,laser0,200,112.2334438,0.5611672188
4.468173225e-05,laser0,200,105.2703582,0.5263517911
4.473724892e-05,laser0,200,106.1864555,0.5309322775
4.479297228e-05,laser0,200,108.2133738,0.5410668688
4.484994371e-05,laser0,200,108.7564778,0.5437823888
4.490877081e-05,laser0,200,113.0557399,0.5652786997
4.497010969e-05,laser0,200,114.7538929,0.5737694643
4.503539353e-05,laser0,200,120.5429577,0.6027147883
4.510501427e-05,laser0,200,120.3985805,0.6019929024
4.517940284e-05,laser0,200,114.9672915,0.5748364574
4.525374114e-05,laser0,200,113.3738492,0.5668692459
4.532335302e-05,laser0,200,112.2627162,0.5613135809
4.538992874e-05,laser0,200,112.0591671,0.5602958355
4.54568194e-05,laser0,200,107.944326,0.53972163
4.552309382e-05,laser0,200,107.2748282,0.5363741411
4.558876696e-05,laser0,200,106.0141102,0.5300705511
4.565454972e-05,laser0,200,101.4023226,0.5070116129
4.572141253e-05,laser0,200,104.6530819,0.5232654096
4.578906287e-05,laser0,200,100.2430203,0.5012151015
4.585713775e-05,laser0,200,98.43621445,0.4921810722
4.592706104e-05,laser0,200,93.22461344,0.4661230672
4.600094731e-05,laser0,200,89.84835782,0.4492417891
4.607479278e-05,laser0,200,93.59564119,0.467978206
4.614913064e-05,laser0,200,94.32949733,0.4716474867
4.622405158e-05,laser0,200,96.87634507,0.4843817253
4.630008341e-05,laser0,200,105.5295112,0.5276475558
4.637696245e-05,laser0,200,111.041092,0.5552054599
4.645563684e-05,laser0,200,105.8466303,0.5292331514
4.653696526e-05,laser0,200,106.2983872,0.5314919358
4.661955742e-05,laser0,200,108.3439541,0.5417197704
4.670179705e-05,laser0,200,105.5196751,0.5275983756
4.678333057e-05,laser0,200,108.5695488,0.542847744
4.68655219e-05,laser0,200,107.4077439,0.5370387193
4.694886155e-05,laser0,200,108.0946993,0.5404734963
4.703191167e-05,laser0,200,106.8250434,0.5341252168
4.711590518e-05,laser0,200,104.9698402,0.5248492011
4.720070165e-05,laser0,200,105.4698854,0.527349427
4.72870491e-05,laser0,200,104.9245066,0.5246225328
4.73746875e-05,laser0,200,102.6497647,0.5132488233
4.746392077e-05,laser0,200,111.5675325,0.5578376623
4.755495867e-05,laser0,200,109.1004585,0.5455022927
4.764892893e-05,laser0,200,106.775216,0.5338760799
4.774840512e-05,laser0,200,103.0548756,0.5152743782
4.785584053e-05,laser0,200,102.7340007,0.5136700035
4.797208556e-05,laser0,200,101.2525972,0.5062629861
4.809179466e-05,laser0,200,101.1498319,0.5057491594
4.821545848e-05,laser0,200,102.0214081,0.5101070407
4.834490023e-05,laser0,200,101.9678286,0.5098391431
4.847796638e-05,laser0,200,100.1579957,0.5007899786
