time_ms,depth_um
2.0083931860485515, 0
2.635439710368082, 0
2.661423260210695, 30.834299747595253
2.716332238605245, 40.108953056630185
2.75003898141561, 41.853371405182486
2.758541802695565, 45.90743862863371
2.8006417315544816, 46.49605800434637
2.8468286182062705, 41.296911697348264
2.859540214202879, 45.35195345618973
2.91868233069884, 55.785329344235095
2.9564516679173205, 50.584233966456395
2.990121865650551, 50.592030249578386
3.032331429740871, 56.39051582158203
3.0617806710650703, 55.81846354750371
3.087033319364993, 55.82431075984522
3.1332811144786725, 53.51953456189756
3.200633691637512, 54.11400114995172
3.213345287634121, 58.16904290879319
3.238561390856909, 56.43826805570444
3.272268133667274, 58.182686404256685
3.301632103144826, 53.55851597750768
3.3563949012308383, 55.88668102482137
3.4027401498835435, 58.21289700135452
3.428053706645357, 61.11311432274664
3.466017950941889, 65.17400329392956
3.495369738727062, 59.97095884537043
3.495296648572793, 56.49771471450987
3.5374696675859787, 60.559578221083086
3.579557414752517, 60.56932357498562
3.6384802607856708, 60.582967070449115
3.6595484977536965, 61.745587791020625
3.722680118503504, 61.76020582187442
3.739515217370119, 61.764103963435446
3.7647678656700423, 61.76995117577695
3.790020513969965, 61.77579838811846
3.8363657626226697, 64.10201436465161
3.8700359603559007, 64.10981064777366
3.9246891232105097, 61.228109498796414
3.9456720883318885, 58.338612066697124
3.975206601502734, 61.81867794528961
4.017318712054029, 62.98617134281227
4.059382095835811, 61.83816865309467
4.0803772426495675, 59.5275452428055
4.101567296541375, 66.47890618147801
4.109887392435657, 61.849863077777684
4.135164404120336, 63.01345833373932
4.1940872501534905, 63.02710182920288
4.2361749973200284, 63.03684718310541
4.257572139982265, 79.82906649254971
4.270332462748385, 86.1996043386315
4.274748326235468, 96.04143724479343
4.274967596698275, 106.46116963737535
4.304709198639549, 119.78209388673946
4.292314326644773, 130.7777766949606
4.3052330114118105, 144.67367682457387
4.326057614532273, 134.25881710894328
4.347357303655483, 146.42004424390672
4.356018486936354, 157.9994737508892
4.364679670217224, 169.5789032578718
4.38601590441757, 183.47675245826554
4.411049282254685, 173.06286727802518
4.420075916306901, 202.00851743931076
4.45779652675587, 194.49192597429175
4.474948349624317, 209.54654868291544
4.517231003868906, 218.8182783857796
4.542568924015477, 222.87624375079184
4.584571399335367, 218.83387095202363
4.5979042616432615, 252.4114878231803
4.656376385058424, 231.00679251167008
4.677468985411205, 233.32716127586173
4.723448783292566, 218.28715659809183
4.752812752770118, 213.66298617134277
4.761071940202509, 206.139572958592
4.786458587118592, 212.51303441084463
4.807624277625642, 218.3066473058969
