,Time,InputLaser,AbsoluteAbsorption,AbsAbsorptionUncertainty,RelativeAbsorption,CameraTrigger,FrameTrigger,FrameNumber
91,-0.00164592,0,1.85292,--,1.81277,1,0,0
92,-0.00164588,0,0.89044,--,0.87114,1,0,0
93,-0.00164584,0,2.02521,--,1.98132,1,0,0
94,-0.0016458,0,0.71816,--,0.7026,1,0,0
95,-0.00164576,0,0.45974,--,0.44977,1,0,0
96,-0.00164572,0,0.45974,--,0.44977,1,0,0
97,-0.00164568,0,-0.3006,--,-0.29409,1,0,0
98,-0.00164564,0,-0.05711,--,-0.05587,1,0,0
99,-0.0016456,0,-0.41546,--,-0.40646,1,0,0
100,-0.00164556,0,-0.61645,--,-0.6031,1,0,0
101,-0.00164552,0,-0.01347,--,-0.01317,1,0,0
102,-0.00164548,0,0.90537,--,0.88575,1,0,0
103,-0.00164544,0,-0.05711,--,-0.05587,1,0,0
104,-0.0016454,0,-0.61645,--,-0.6031,1,0,0
105,-0.00164536,0,-0.12832,--,-0.12554,1,0,0
106,-0.00164532,0,0.58952,--,0.57675,1,0,0
107,-0.00164528,0,0.8043,--,0.78687,1,0,0
108,-0.00164524,0,-0.97595,--,-0.9548,1,0,0
109,-0.0016452,0,-0.61645,--,-0.6031,1,0,0
110,-0.00164516,0,0.79052,--,0.77339,1,0,0
111,-0.00164512,0,0.90537,--,0.88575,1,0,0
112,-0.00164508,0,-0.76002,--,-0.74355,1,0,0
113,-0.00164504,0,-1.53529,--,-1.50202,1,0,0
114,-0.001645,0,-0.3431,--,-0.33566,1,0,0
115,-0.00164496,0,-0.93231,--,-0.9121,1,0,0
116,-0.00164492,0,-1.04716,--,-1.02447,1,0,0
117,-0.00164488,0,-2.76998,--,-2.70996,1,0,0
118,-0.00164484,0,-1.03338,--,-1.01098,1,0,0
119,-0.0016448,0,-0.61645,--,-0.6031,1,0,0
120,-0.00164476,0,1.10637,--,1.08239,1,0,0
121,-0.00164472,0,0.58952,--,0.57675,1,0,0
122,-0.00164468,0,-0.1421,--,-0.13903,1,0,0
123,-0.00164464,0,-1.53529,--,-1.50202,1,0,0
124,-0.0016446,0,0.18753,--,0.18346,1,0,0
125,-0.00164456,0,-1.03338,--,-1.01098,1,0,0
126,-0.00164452,0,0.4896,--,0.47899,1,0,0
127,-0.00164448,0,-1.57894,--,-1.54472,1,0,0
128,-0.00164444,0,-0.07089,--,-0.06936,1,0,0
129,-0.0016444,0,0.30238,--,0.29583,1,0,0
130,-0.00164436,0,0.84794,--,0.82957,1,0,0
131,-0.00164432,0,0.83301,--,0.81496,1,0,0
132,-0.00164428,0,1.63815,--,1.60265,1,0,0
133,-0.00164424,0,2.12513,--,2.07908,1,0,0
134,-0.0016442,0,1.24994,--,1.22285,1,0,0
135,-0.00164416,0,1.27865,--,1.25094,1,0,0
136,-0.00164412,0,1.70936,--,1.67231,1,0,0
137,-0.00164408,0,0.23003,--,0.22504,1,0,0
138,-0.00164404,0,1.88164,--,1.84086,1,0,0
139,-0.001644,0,0.81923,--,0.80148,1,0,0
140,-0.00164396,0,0.4896,--,0.47899,1,0,0
141,-0.00164392,0,1.93907,--,1.89705,1,0,0
142,-0.00164388,0,1.10637,--,1.08239,1,0,0
143,-0.00164384,0,1.85292,--,1.81277,1,0,0
144,-0.0016438,0,0.11517,--,0.11268,1,0,0
145,-0.00164376,0,0.74687,--,0.73069,1,0,0
146,-0.00164372,0,-1.16202,--,-1.13683,1,0,0
147,-0.00164368,0,-0.97595,--,-0.9548,1,0,0
148,-0.00164364,0,-0.0284,--,-0.02778,1,0,0
149,-0.0016436,0,-0.20068,--,-0.19633,1,0,0
150,-0.00164356,0,0.81923,--,0.80148,1,0,0
151,-0.00164352,0,-0.05711,--,-0.05587,1,0,0
152,-0.00164348,0,-0.12832,--,-0.12554,1,0,0
153,-0.00164344,0,0.1726,--,0.16886,1,0,0
154,-0.0016434,0,-0.1421,--,-0.13903,1,0,0
155,-0.00164336,0,-0.11454,--,-0.11206,1,0,0
156,-0.00164332,0,0.03018,--,0.02952,1,0,0
157,-0.00164328,0,-1.56401,--,-1.53011,1,0,0
158,-0.00164324,0,-0.12832,--,-0.12554,1,0,0
159,-0.0016432,0,-0.3431,--,-0.33566,1,0,0
160,-0.00164316,0,3.16E-04,--,3.09E-04,1,0,0
161,-0.00164312,0,-0.05711,--,-0.05587,1,0,0
162,-0.00164308,0,-0.47289,--,-0.46264,1,0,0
163,-0.00164304,0,-1.01845,--,-0.99638,1,0,0
164,-0.001643,0,-1.60765,--,-1.57281,1,0,0
165,-0.00164296,0,0.4896,--,0.47899,1,0,0
166,-0.00164292,0,-0.44417,--,-0.43455,1,0,0
167,-0.00164288,0,0.57459,--,0.56214,1,0,0
168,-0.00164284,0,1.22122,--,1.19476,1,0,0
169,-0.0016428,0,-1.01845,--,-0.99638,1,0,0
170,-0.00164276,0,-0.81745,--,-0.79974,1,0,0
171,-0.00164272,0,0.05774,--,0.05649,1,0,0
172,-0.00164268,0,-0.20068,--,-0.19633,1,0,0
173,-0.00164264,0,-1.06209,--,-1.03908,1,0,0
174,-0.0016426,0,-0.40168,--,-0.39297,1,0,0
175,-0.00164256,0,0.21624,--,0.21156,1,0,0
176,-0.00164252,0,-0.6601,--,-0.6458,1,0,0
177,-0.00164248,0,1.99649,--,1.95323,1,0,0
178,-0.00164244,0,-0.01347,--,-0.01317,1,0,0
179,-0.0016424,0,2.01142,--,1.96784,1,0,0
180,-0.00164236,0,0.51716,--,0.50596,1,0,0
181,-0.00164232,0,-0.32932,--,-0.32218,1,0,0
182,-0.00164228,0,0.89044,--,0.87114,1,0,0
183,-0.00164224,0,1.63815,--,1.60265,1,0,0
184,-0.0016422,0,-0.6601,--,-0.6458,1,0,0
185,-0.00164216,0,0.64695,--,0.63293,1,0,0
186,-0.00164212,0,-0.37296,--,-0.36488,1,0,0
187,-0.00164208,0,0.81923,--,0.80148,1,0,0
188,-0.00164204,0,0.07267,--,0.0711,1,0,0
189,-0.001642,0,1.49343,--,1.46107,1,0,0
190,-0.00164196,0,0.28745,--,0.28122,1,0,0
191,-0.00164192,0,1.235,--,1.20824,1,0,0
192,-0.00164188,0,-0.61645,--,-0.6031,1,0,0
193,-0.00164184,0,-1.01845,--,-0.99638,1,0,0
