time,z_slice_um,surface_y_um,T_liq_K,keyholeDepth_um,keyholeDepthX_um,keyholeDepthY_um,meltPoolDepth_um,meltPoolDepthX_um,meltPoolDepthY_um,keyholeWidth_um,keyholeWidthXLeft_um,keyholeWidthXRight_um,meltPoolWidth_um,meltPoolWidthXLeft_um,meltPoolWidthXRight_um
5.000670673e-05,257.43017578124994,128.0,1723.0,43.06976249309926,254.56982421875,171.06976249309926,52.499423956394,257.4301452636719,180.499423956394,59.17812870502874,225.6516560089918,284.82978471402055,91.64816638447479,209.3882600293632,301.036426413838
9.996061104e-05,294.9720764160156,128.0,1723.0,69.24386786542595,254.56982421875,197.24386786542595,80.9408219306111,254.56982421875,208.9408219306111,62.37278938486142,225.66406604680603,288.03685543166745,98.47462610748218,206.96214531599443,305.4367714234766
0.000149970965,305.6983337402344,128.0,1723.0,67.70033757731454,254.56982421875,195.70033757731454,82.99466864952876,254.56982421875,210.99466864952876,87.47073062862589,214.61758539649404,302.0883160251199,111.70587325424947,199.61865979794663,311.3245330521961
0.0001999654787,386.145263671875,128.0,1723.0,61.45679771814909,254.56982421875,189.4567977181491,76.05992710935072,254.56982421875,204.05992710935072,68.32034235935362,222.5687820207587,290.8891243801123,90.3947517435366,210.67780884528875,301.07256058882535
0.0002499579203,407.5977783203125,128.0,1723.0,63.519992695657834,257.4301452636719,191.51999269565783,76.47816927404097,254.56982421875,204.47816927404097,nan,nan,nan,84.44832143595826,212.9549903904821,297.40331182644036
0.0002999563905,471.95532226562494,128.0,1723.0,66.40357994796511,254.56982421875,194.4035799479651,76.99690479133045,257.4301452636719,204.99690479133045,67.62728147894893,223.27803705047,290.90531852941893,85.35158463603142,213.74059048672274,299.09217512275416
0.0003499723773,509.49722290039057,128.0,1723.0,68.11134497205421,254.56982421875,196.1113449720542,78.25478724983233,254.56982421875,206.25478724983233,nan,nan,nan,78.33919184486118,218.73901009115647,297.07820193601765
0.0004000730417,563.1285400390625,128.0,1723.0,62.44923749363605,248.84915161132812,190.44923749363605,76.95576094993487,254.56982421875,204.95576094993487,71.54063533129496,221.7378026796308,293.27843801092575,82.08411690726314,214.4510213125356,296.53513821979874
0.0004500649546,606.0335693359375,128.0,1723.0,63.465828126489015,257.4301452636719,191.46582812648901,77.95463342062394,257.4301452636719,205.95463342062394,72.85480217414272,219.5741534602315,292.42895563437423,81.40423958473897,215.14090147347034,296.5451410582093
0.0005000471271,659.664794921875,128.0,1723.0,60.16812676062415,254.56982421875,188.16812676062415,74.04440398195672,254.56982421875,202.04440398195672,69.58976525693865,220.42006311764615,290.0098283745848,79.22037544338428,216.8355897419966,296.0559651853809
0.0005499472358,686.4804687499999,128.0,1723.0,63.814617430795295,254.56982421875,191.8146174307953,77.62067207118372,254.56982421875,205.62067207118372,76.3355459706356,216.96828556591365,293.30383153654924,83.3451757419316,213.22999893674518,296.5751746786768
0.0005999931044,718.6592407226561,128.0,1723.0,110.44235873275079,257.4301452636719,238.4423587327508,118.42965958329353,254.56982421875,246.42965958329353,nan,nan,nan,76.55988389714241,218.518893469486,295.0787773666284
0.0006500159138,729.3854980468749,128.0,1723.0,176.8869694415843,254.56982421874997,304.8869694415843,186.49451975468486,257.4301452636719,314.49451975468486,nan,nan,nan,84.49358112674526,213.74380247819687,298.2373836049421
