time_s,laser,input_power_W,deposited_power_W,absorptivity
2.4e-05,laser0,0,0,0
2.5e-05,laser0,0,0,0
2.6e-05,laser0,0,0,0
2.7e-05,laser0,0,0,0
2.8e-05,laser0,0,0,0
2.9e-05,laser0,0,0,0
3e-05,laser0,0,0,0
3.1e-05,laser0,0,0,0
3.2e-05,laser0,0,0,0
3.3e-05,laser0,0,0,0
3.4e-05,laser0,0,0,0
3.5e-05,laser0,0,0,0
3.6e-05,laser0,0,0,0
3.68e-05,laser0,0,0,0
3.786666667e-05,laser0,0,0,0
3.893333333e-05,laser0,0,0,0
4e-05,laser0,0,0,0
4.1e-05,laser0,0,0,0
4.2e-05,laser0,0,0,0
4.3e-05,laser0,0,0,0
4.4e-05,laser0,0,0,0
4.48e-05,laser0,0,0,0
4.56e-05,laser0,0,0,0
4.64e-05,laser0,0,0,0
4.72e-05,laser0,0,0,0
4.8e-05,laser0,0,0,0
4.9e-05,laser0,0,0,0
5e-05,laser0,0,0,0
5.1e-05,laser0,0,0,0
5.15e-05,laser0,0,0,0
5.2e-05,laser0,0,0,0
5.257142857e-05,laser0,0,0,0
5.325714286e-05,laser0,0,0,0
5.394285714e-05,laser0,0,0,0
5.462857143e-05,laser0,0,0,0
5.531428571e-05,laser0,0,0,0
5.6e-05,laser0,0,0,0
5.68e-05,laser0,0,0,0
5.76e-05,laser0,0,0,0
5.84e-05,laser0,0,0,0
5.92e-05,laser0,0,0,0
6e-05,laser0,0,0,0
1.200048002e-09,laser0,156,56.99910355,0.3653788689
2.640174741e-09,laser0,156,56.99910355,0.3653788689
4.368326829e-09,laser0,156,56.99910355,0.3653788689
6.442109334e-09,laser0,156,56.99910355,0.3653788689
8.930545063e-09,laser0,156,56.99910355,0.3653788689
1.19165192e-08,laser0,156,56.99910355,0.3653788689
1.5500331e-08,laser0,156,56.99910355,0.3653788689
1.980028779e-08,laser0,156,56.99910355,0.3653788689
2.496068061e-08,laser0,156,56.99910355,0.3653788689
3.115251134e-08,laser0,156,56.99910355,0.3653788689
3.858086268e-08,laser0,156,56.99910355,0.3653788689
4.749089768e-08,laser0,156,56.99910355,0.3653788689
5.818102561e-08,laser0,156,56.99910355,0.3653788689
7.100917913e-08,laser0,156,56.99910355,0.3653788689
8.640296335e-08,laser0,156,56.99910355,0.3653788689
1.048640379e-07,laser0,156,56.99910355,0.3653788689
1.270008074e-07,laser0,156,56.99910355,0.3653788689
1.535411278e-07,laser0,156,56.99910355,0.3653788689
1.854066905e-07,laser0,156,56.99910355,0.3653788689
2.235957695e-07,laser0,156,56.99910355,0.3653788689
2.694943809e-07,laser0,156,56.99910355,0.3653788689
3.24468989e-07,laser0,156,56.99910355,0.3653788689
3.902889278e-07,laser0,156,56.99910355,0.3653788689
4.690570513e-07,laser0,156,56.99910355,0.3653788689
5.634228231e-07,laser0,156,56.99910355,0.3653788689
6.77116524e-07,laser0,156,56.99910355,0.3653788689
8.142177516e-07,laser0,156,56.99910355,0.3653788689
9.782495775e-07,laser0,156,56.99910355,0.3653788689
1.174374587e-06,laser0,156,56.99910355,0.3653788689
1.406627887e-06,laser0,156,56.99910355,0.3653788689
1.683833439e-06,laser0,156,56.99910355,0.3653788689
2.016480101e-06,laser0,156,56.99910355,0.3653788689
2.415656096e-06,laser0,156,56.99910355,0.3653788689
2.88967759e-06,laser0,156,56.99910355,0.3653788689
3.436625468e-06,laser0,156,56.99910355,0.3653788689
4.092962921e-06,laser0,156,56.99910355,0.3653788689
4.831342556e-06,laser0,156,56.99910355,0.3653788689
5.692785463e-06,laser0,156,56.99910355,0.3653788689
6.769589098e-06,laser0,156,56.99910355,0.3653788689
7.846392732e-06,laser0,156,56.99910355,0.3653788689
8.923196366e-06,laser0,156,56.99910355,0.3653788689
1e-05,laser0,156,56.99910355,0.3653788689
1.1e-05,laser0,156,56.99910355,0.3653788689
1.19e-05,laser0,156,56.99908544,0.3653787528
1.28e-05,laser0,156,56.99902923,0.3653783925
1.37e-05,laser0,156,56.99881079,0.3653769923
1.427272727e-05,laser0,156,56.99874202,0.3653765514
1.490909091e-05,laser0,156,56.9986832,0.3653761743
1.563636364e-05,laser0,156,56.99861746,0.3653757529
1.650909091e-05,laser0,156,56.99844835,0.3653746689
1.738181818e-05,laser0,156,56.99845092,0.3653746854
1.825454545e-05,laser0,156,56.99836737,0.3653741498
1.912727273e-05,laser0,156,56.99838402,0.3653742565
2e-05,laser0,156,56.99858256,0.3653755293
2.1e-05,laser0,156,56.99840914,0.3653744176
2.2e-05,laser0,156,56.9983798,0.3653742295
2.3e-05,laser0,156,56.99818957,0.3653730101
2.4e-05,laser0,156,56.99815499,0.3653727884
2.5e-05,laser0,156,56.9982261,0.3653732443
2.583333333e-05,laser0,156,56.99805977,0.365372178
2.6875e-05,laser0,156,56.99796344,0.3653715605
2.791666667e-05,laser0,156,56.99792048,0.3653712852
2.895833333e-05,laser0,156,56.99817519,0.3653729179
3e-05,laser0,156,56.99802803,0.3653719745
3.083333333e-05,laser0,156,56.99781711,0.3653706225
3.175e-05,laser0,156,56.99844969,0.3653746775
3.25e-05,laser0,156,56.9978831,0.3653710455
3.333333333e-05,laser0,156,56.99814094,0.3653726983
3.416666667e-05,laser0,156,56.99862134,0.3653757778
3.5e-05,laser0,156,56.99864222,0.3653759117
3.571428571e-05,laser0,156,56.9986362,0.365375873
3.642857143e-05,laser0,156,56.99923615,0.3653797189
3.714285714e-05,laser0,156,56.99915291,0.3653791853
3.785714286e-05,laser0,156,56.9990695,0.3653786506
3.839285714e-05,laser0,156,56.99885728,0.3653772903
3.892857143e-05,laser0,156,56.99856219,0.3653753987
3.946428571e-05,laser0,156,56.9982887,0.3653736455
4e-05,laser0,156,56.99799787,0.3653717812
4.047619048e-05,laser0,156,56.9977895,0.3653704455
4.095238095e-05,laser0,156,56.99766107,0.3653696223
4.14047619e-05,laser0,156,56.99756688,0.3653690185
4.183452381e-05,laser0,156,56.9975116,0.3653686641
4.226428571e-05,laser0,156,56.99752451,0.3653687469
