time_ms,abs
0.0006199874864910582, 0.2437344427561139
0.030623969057505307, 0.2596146814336904
0.04073147147488765, 0.3074287447758808
0.04330811671691026, 0.33931381550970885
0.043421875888743466, 0.3848716552772067
0.053523690347534236, 0.43040782663102206
0.06344349013139183, 0.40305145435684087
0.08356748762869004, 0.4622333092272233
0.08119560889596722, 0.5123523500748914
0.10129116660030724, 0.5601447450033994
0.11612536260736028, 0.5008870506851282
0.12633524827939258, 0.5897031698180667
0.13640862294522493, 0.6238498812300075
0.15118593936636138, 0.5418132670279876
0.16644673226778917, 0.6533974718378337
0.18367555884193165, 0.5531323046253939
0.19129173539616628, 0.6032296770593797
0.1961037483647119, 0.5303262992245418
0.21862237642909965, 0.5485006812007552
0.23846766395540642, 0.49606582864076754
0.25359763380922595, 0.5552585177179911
0.266230589841306, 0.6144566238986352
0.28114441726864237, 0.5870894174176128
0.3162220579034185, 0.6348493097255966
0.32865593538479043, 0.6143211963131195
0.33878050167794793, 0.6689689356204345
0.3535748819748594, 0.5937659973835391
0.3584835902394632, 0.5595867833510745
0.3759001194471303, 0.5344920517550062
0.3957454069734374, 0.48205719919501855
0.40341846311358887, 0.5549334915127533
0.43577157158295887, 0.511583121389162
0.4484159035322224, 0.575337011546556
0.45350093851316764, 0.6117724491537131
0.453597633809226, 0.6504966129560863
0.46617371025538934, 0.6869157992529815
0.47607075820488043, 0.6504478590253007
0.48096240259370915, 0.6094349690277112
0.4934417837438143, 0.6071299915222332
0.5132870712701214, 0.5546951389622455
0.5335930834423526, 0.6867695374606245
0.5335305158978443, 0.6617127255885006
0.5585290939081964, 0.6730480144961689
0.5758148000682557, 0.595561767167478
0.5831807064444572, 0.5454318921129684
0.5980376542858767, 0.4952857657481968
0.6131278084295546, 0.5385332109067961
0.6379500597235652, 0.4792538481748425
0.6553097093453162, 0.43138019669502525
0.6629088220237758, 0.47464389316388633
0.6654911552243901, 0.5088068558860892
0.6755759058074058, 0.54750935127478
0.6954211933337127, 0.49507449871479225
0.7028041635856894, 0.4517782996254075
0.7101530060861156, 0.39481474860577304
0.7180592685285252, 0.5610846124468787
0.738041067061032, 0.5633191676078886
0.7454069734372335, 0.5131892925533788
0.7478129799215063, 0.47673760363595985
0.7601217223138617, 0.4060958664792348
0.7855468972185882, 0.5882730545150204
0.7828394289289577, 0.5039964680485698
0.7927706046299985, 0.4811958797511383
0.8151868494397361, 0.45836820593660366
0.8178146863090838, 0.5107543045658056
0.8254137989875434, 0.5540180010346668
0.8553324611796829, 0.5357298598866201
0.8702519765656107, 0.5106405453939723
0.8828451168875493, 0.5538934076559924
0.8925203344519654, 0.42858767988169044
0.9125191968602469, 0.43765591100782497
0.9225755076503044, 0.4649689464546414
0.9498378931801379, 0.38290524673551807
0.9600819066037201, 0.48538871779870585
0.9701154655594111, 0.5035901852920225
0.9799442580058018, 0.439787541203843
0.9823332006142995, 0.39650217632129925
0.9971389568283944, 0.3258550220611538
1.014834196007053, 0.41237699789545545
1.0397019509697971, 0.371320771070501
1.0450201922530007, 0.5011497802010287
1.0451055116318755, 0.5353181600266523
1.064990614868324, 0.4988285513852888
1.0723394573687506, 0.44186500036565457
1.0771002787099713, 0.34846059463544266
1.0897161708662761, 0.40082502485096194
1.0924350150730904, 0.4896573952941623
1.1000170638757751, 0.5260874157978987
1.1197542801888405, 0.430372615458788
1.1298788464819975, 0.48502035476610306
1.144741482282009, 0.4371521203897064
1.1546100904385417, 0.3892947202201511
1.1769467038279964, 0.334576558568368
1.1772481656333544, 0.45530483395223753
1.1896137876116266, 0.4074420166792615
1.2020419771344066, 0.3846360112784094
1.211899209373756, 0.33222282713210416
1.2296228883453733, 0.4301342629082803
1.239434616915989, 0.35949794285497605
1.2622774586201013, 0.5075121681685586
1.2819976110573916, 0.4049636918643231
1.2945224958762303, 0.42088185026584435
1.3192480518741823, 0.3228783237315176
1.334463341106877, 0.4162393926343645
1.3420852056197035, 0.46861465705672534
1.3519424378590528, 0.4162014729104201
1.3718389170126843, 0.3842676482458066
1.3791820715545193, 0.32502620523779746
1.3895227802741603, 0.46623384010335844
1.3945338717934135, 0.47305668186164174
1.4193845628803823, 0.42516677907156275
1.427086058813492, 0.5094325313311718
1.4246914282464025, 0.5504400042253407
1.432279165007679, 0.589147916717452
1.437318696319891, 0.60736021841761
1.447164552642057, 0.550391250294555
1.4495762470849218, 0.5162174533655111
1.4594562311586374, 0.47291583717270536
1.4593709117797626, 0.438747457347082
1.4617371025538937, 0.3863505245110387
1.4715431431659183, 0.31343631246935955
1.479187759513111, 0.3749231448452198
1.4843239861213808, 0.4318596103477509
1.4919117228826573, 0.47056752283986225
1.4994255161822423, 0.47966283948310007
1.5068141743928103, 0.43864453238209
1.5220351515840966, 0.534283493273312
1.532063022581196, 0.5502070687782536
1.541925942779137, 0.5000717766203233
1.554325692508959, 0.4658763112775969
1.5567260110346401, 0.42714673037180284
1.5716113986690177, 0.38839006394890585
1.591837779420966, 0.48857397461003627
1.5941641544849556, 0.4202317978553688
1.604049826517263, 0.3792080736509381
1.6139411865081623, 0.34046224143488235
1.6465331892383825, 0.39278333482303684
1.6566975712416818, 0.46337631804897617
1.6542346851714917, 0.47704908708264604
1.6590865138501796, 0.4200909531664324
1.6665149877708894, 0.39501788998404663
1.6689323701723455, 0.36312198504337734
1.6713611284909846, 0.3357818640794581
1.6812581764404757, 0.29931392385177724
1.6812126727717422, 0.28109078794477793
1.7063705136226615, 0.3562070525269434
1.7212672771742223, 0.32200617008079613
1.7288095102667653, 0.3424909466659083
1.7385814231272398, 0.25590938269397956
1.7585973494112968, 0.27181128978523894
1.763705136226609, 0.31735829534589555
1.7638132074398505, 0.3606382431250186
1.7664012285990562, 0.3970790978355965
1.7789943689209946, 0.4403319600976163
1.793987827768614, 0.44485524145384236
1.8040953301859965, 0.49266930479603255
1.8066321597178776, 0.5086091316112361
1.8411239406177127, 0.3217461491166058
1.8436948979011438, 0.3513533278620591
1.8537853364427512, 0.3923337152391245
1.8637051362266086, 0.36497734296494333
1.8911097207212335, 0.3398609429551924
1.903771116546272, 0.41044850907771113
1.9088675274444005, 0.451439730661618
1.9184801774643083, 0.30107719101519237
1.9282577782833745, 0.21677351903163866
1.9256356293726187, 0.1666653123908115
1.9354302940674595, 0.08919531637238243
1.9428189522780275, 0.04817700927137247
1.9452363346794836, 0.016281104330703178
1.9576702121608553, -0.004247009081773889
