",""P_laser [W]"",""v_scan [mm/s]"",""d_laser [mm]"",""t_powder [um]"",""Weldwidth w_w [um]"",""Penetrationdepth d_w [um]"",""Moltencross-sectionalarea A_m [um]"",""Balling"""
505,300,300,0.08,0,240,326.1,48033,0
506,300,1200,0.14,30,186.66,23.711,9125.334,1
507,350,600,0.11,60,182.4,108.4,21663.2,0
508,100,600,0.05,0,92.651,53.311,4154.743,0
509,350,1050,0.08,0,141.1,92.7,9041.5,1
510,225,750,0.08,0,135.8,78.7,8289.4,0
511,100,300,0.11,60,137,42,6100.9,0
512,300,1200,0.08,0,129.712,71.909,6650.733,1
513,200,900,0.14,0,174.6,34.4,4207.4,0
514,400,600,0.11,30,207.7,102.7,23708.4,0
515,375,750,0.08,0,190.6,100.3,13996.5,0
516,400,900,0.11,30,151.982,93.895,9146.966,1
517,125,750,0.08,0,112,37.6,1578.4,0
518,450,1200,0.05,60,184.79,36.109,9674.404,1
519,425,375,0.11,60,246.8,274.8,59330.7,0
520,75,600,0.05,30,84.5,27.8,2387.1,0
521,300,600,0.11,30,190.06,64.514,16020.816,0
522,150,450,0.08,60,151.6,94.7,17923.4,0
523,250,900,0.08,30,126.319,52.704,8197.037,1
524,450,1200,0.14,30,177.991,44.792,8459.969,1
525,350,1500,0.14,0,169.491,40.556,4256.984,0
526,350,1200,0.05,0,131.584,117.478,13018.482,1
527,175,1350,0.08,0,109.5,34.3,2418,0
528,350,300,0.11,60,259.1,315.4,62664.3,0
529,100,1050,0.08,0,101.7,27.9,1802.2,0
530,275,375,0.14,60,238.7,119.4,29915.3,0
531,175,750,0.11,30,148.9,39.3,7479.8,0
532,400,1200,0.11,0,185.811,60.913,8104.6,1
533,250,600,0.11,30,168.982,65.659,14746.789,0
534,500,900,0.11,60,182.92,91.63,24432.749,1
535,400,1500,0.11,60,158.78,44.795,13294.484,1
536,275,750,0.05,0,125.5,181.3,19050.3,0
537,150,600,0.08,30,119.002,32.976,6322.598,0
538,200,300,0.05,30,168.3,369.7,35718,0
539,500,450,0.08,60,203.3,378.8,66318.9,0
540,250,300,0.11,60,217.6,172.9,38622.1,0
541,50,300,0.11,0,115.94,22.182,1667.154,0
542,300,900,0.05,0,132.4,167.5,18338.4,0
543,200,900,0.11,0,135.832,43.037,4224.68,0
544,50,450,0.05,0,74.8,26.8,1403.6,0
545,425,1050,0.11,0,213.7,72.6,12239.3,1
546,450,1500,0.11,60,130.05,69.555,9919.879,1
547,250,1500,0.08,30,102.68,31.28,3991.177,1
548,225,225,0.14,60,259.4,72.6,20676.6,0
549,475,750,0.08,30,229.2,76.7,26862.3,1
550,100,1200,0.05,30,58.144,23.066,1319.95,0
551,150,450,0.05,0,139.1,160.9,14792,0
552,400,600,0.08,0,197.4,141.1,23190.5,0
553,300,300,0.08,60,215.9,387.6,55806.2,0
554,300,300,0.11,60,252.1,217.4,47311.4,0
555,175,675,0.05,60,124.1,153.8,15459.9,1
556,250,900,0.05,60,112.881,64.94,8047.429,1
557,450,300,0.11,0,317.4,287.7,64851.5,0
558,325,750,0.08,0,154.4,112.5,14855.7,0
559,450,1500,0.08,30,137.363,67.175,10672.886,1
560,125,450,0.08,30,156.4,104.4,14720.7,0
561,150,300,0.08,30,182.4,199.7,23427.4,0
562,150,1200,0.08,0,102.179,34.866,2397.92,0
563,100,600,0.14,0,130.052,26.392,2256.902,0
564,300,1200,0.08,30,159.631,41.485,6487.544,1
565,400,900,0.08,30,165.926,116.617,18082.961,0
566,500,300,0.11,60,279.5,451.5,86327.9,0
567,250,1500,0.11,0,160.652,33.295,3669.635,0
568,475,1050,0.05,0,210.1,89,12101.2,1
569,450,1200,0.08,30,185.819,44.697,18235.105,1
570,250,1200,0.05,30,114.581,80.07,7736.082,1
571,150,1050,0.05,60,110.8,67.3,7050.2,1
572,150,900,0.05,60,117.6,88.7,11514,0
573,150,300,0.05,60,158.1,211.667,23940.391,0
574,300,600,0.08,30,168.3,171.7,23838.9,0
575,100,900,0.05,30,80.41,26.716,3236.15,0
576,200,600,0.08,60,134.81,52.675,8967.94,0
577,275,450,0.08,30,181.7,214.2,30865.4,0
578,250,900,0.11,30,156.742,33.563,7913.787,1
579,400,900,0.11,0,199.241,75.907,10012.362,0
580,350,900,0.05,30,87.2,251.3,18489.3,1
581,250,1500,0.05,60,82.284,68.099,8814.105,1
582,250,450,0.11,60,199.6,124.6,26354.8,0
583,200,300,0.08,30,191.3,236.6,31174.9,0
584,200,600,0.08,60,155.9,79.2,12715,0
585,150,300,0.14,30,162.351,35.329,12080.301,0
586,400,300,0.08,60,212.2,528,74318.1,0
587,150,300,0.11,0,164.41,69.051,8450.317,0
588,200,300,0.14,60,216.242,40.36,16379.058,0
589,300,900,0.05,30,94.4,211.4,17785.4,1
590,300,900,0.11,0,186.321,53.607,6876.452,0
591,300,1500,0.08,30,125.29,44.476,6854.762,1
592,300,600,0.11,60,165.073,40.099,10550.158,1
593,100,600,0.05,60,115.8,57.8,6796.8,0
594,350,900,0.05,60,211.991,24.971,18522.924,1
595,275,900,0.08,30,171.4,56.3,16257.7,1
596,475,525,0.14,60,242.3,156.3,39649.5,0
597,300,1200,0.08,60,137.373,43.665,11186.326,1
598,150,1500,0.08,0,88.06,29.615,1934.812,0
599,450,600,0.11,60,215.904,82.949,18053.347,1
600,475,375,0.11,60,253.6,298.2,70327,0
601,250,1200,0.11,0,154.361,37.403,3124.336,0
602,225,900,0.05,30,138.6,93.3,11480,0
603,250,900,0.14,0,193.299,46.21,5803.337,0
604,100,300,0.14,30,128.183,19.308,6740.289,0
605,275,700,0.11,60,171,67.3,15832.5,1
606,100,450,0.05,0,123.3,84.7,7661.3,0
607,325,750,0.14,30,210.8,71.6,11164.7,1
608,50,1050,0.08,0,71.1,14.6,780.1,0
609,225,1350,0.05,0,89.4,76.2,5297.4,1
610,350,1200,0.05,30,113.56,122.693,11954.456,1
611,325,450,0.11,30,258.7,156.3,30594.6,0
612,400,600,0.14,0,239.701,74.607,11779.915,0
613,50,900,0.05,0,52.4,20.9,853.6,0
614,225,1050,0.11,0,165.1,41.3,4327.5,0
615,350,600,0.14,30,220.5,70.6,17934,1
616,200,1500,0.05,30,83.131,59.188,3233.621,0
617,100,450,0.08,60,98.1,24.8,5474.4,0
618,100,600,0.08,0,96.051,38.08,2642.792,0
619,175,225,0.14,60,216.2,104,23612.7,0
620,250,450,0.08,60,179.2,203.9,32304.6,0
621,300,1500,0.05,30,110.502,53.361,7775.415,1
622,300,1200,0.05,30,159.631,36.982,5891.872,1
623,400,900,0.05,0,151.3,175.3,21383.5,0
624,375,750,0.11,0,179.5,97.4,13679.8,0
625,450,1200,0.14,0,246.847,46.795,8490.204,0
626,275,675,0.14,60,183,61.7,10268.3,1
627,400,1500,0.08,30,139.4,72.094,11098.048,1
628,500,600,0.11,30,226.6,157,32590.6,0
629,250,1200,0.14,0,218.621,29.691,4711.713,0
630,200,1050,0.05,60,119,72.8,6438,0
631,350,1500,0.05,0,107.615,103.474,9242.177,1
632,250,1500,0.05,30,103.87,61.959,5272.791,1
633,137.5,825,0.05,60,110,77.1,7889.9,0
634,200,450,0.08,60,160.8,148.2,24052.4,0
635,100,600,0.11,30,101.491,11.608,7043.233,1
636,175,450,0.11,30,170.2,57.3,10434.8,0
637,300,300,0.11,30,239.7,236.6,47249,0
638,150,1500,0.05,30,102.511,37.709,8001.254,0
639,450,450,0.11,60,286.7,154.5,37875.7,0
640,300,1500,0.08,60,112.371,32.906,4324.734,1
641,475,750,0.11,0,203.5,111.4,16589.9,1
642,400,450,0.08,0,240.7,226.7,42628.9,0
643,100,300,0.05,30,133.8,177.9,16262.3,0
644,250,900,0.05,30,128.52,99.841,12490.768,0
645,275,450,0.11,0,221,63.8,10723.4,0
646,500,1200,0.11,30,171.874,74.912,15361.304,1
647,250,450,0.05,60,136.7,327.5,35899,0
648,275,675,0.05,60,114.1,259,21077.6,1
649,350,1200,0.11,30,150.962,51.182,10084.193,1
650,125,900,0.05,30,109.3,53.3,4796.7,0
651,450,600,0.08,60,222,219.5,42618,0
652,200,600,0.05,0,131.1,163.8,16363.1,0
653,200,600,0.11,30,171.872,33.809,10202.148,0
654,200,300,0.11,60,207.2,121.3,22096.3,0
655,150,300,0.05,30,143,247.4,23127.6,0
656,150,750,0.05,60,115.1,101.2,13534.9,0
657,500,1500,0.08,30,214.711,48.498,9862.992,1
658,375,525,0.11,60,211.3,122.2,30530.6,0
659,400,1500,0.08,60,134.133,76.662,20871.416,1
660,300,600,0.05,60,145.35,186.908,28037.69,0
661,275,750,0.08,30,157.8,101.6,14013.7,0
662,300,1500,0.14,0,154.53,38.528,3516.986,0
663,350,1200,0.08,0,139.744,83.293,8516.758,1
664,225,450,0.08,30,189.2,152.5,24985.4,0
665,300,1500,0.11,30,126.311,28.479,6129.213,1
666,250,300,0.14,30,231.201,87.706,20400.12,0
667,125,1050,0.05,30,90.4,50.8,5233.7,0
668,175,1050,0.05,30,109.7,77.9,7199.4,1
669,425,1050,0.05,30,90.6,250.3,19760.9,1
670,375,675,0.14,60,177.1,94.9,15049.5,1
671,350,1500,0.08,0,143.314,64.724,5940.814,1
672,350,1500,0.11,30,156.063,42.686,8188.223,1
673,325,750,0.11,30,168.8,104,16819.1,1
674,250,900,0.11,0,142.461,56.27,5877.696,0
675,350,300,0.08,60,199.2,548.3,67111.7,0
676,150,600,0.14,0,160.82,35.719,3607.859,0
677,350,600,0.05,30,129.5,368.6,32642.1,1
